deal_name,stage,value,days_in_stage,created_date
Atlas Manufacturing — Production Suite,Contract Sent,255438,15,2026-02-19
Meridian Health — EHR Integration,Contract Sent,260546,7,2026-02-17
CoreVault Financial — Data Migration,Negotiation,320789,24,2026-02-06
Pinnacle Insurance — Claims Platform,Negotiation,303440,23,2026-03-27
Summit Logistics — Fleet Management,Negotiation,278902,12,2026-02-12
Redwood Properties — Tenant Platform,Proposal Sent,153523,15,2026-02-22
Cascade Energy — Monitoring Dashboard,Proposal Sent,113710,10,2026-02-14
Nordic Labs — Research Portal,Proposal Sent,190921,20,2026-02-22
Riverstone Media — Content Platform,Qualified,132488,15,2026-03-02
Apex Dental — Booking System,Qualified,139614,4,2026-02-09
Horizon Telecom — Network Dashboard,Qualified,122372,4,2026-02-28
Beacon Analytics — BI Migration,Lead,117449,1,2026-03-28
Clearwater Foods — Supply Chain,Lead,110552,7,2026-01-07
Ironbridge Solutions — HR Platform,Lead,117952,6,2026-03-25
Skyline Aviation — Maintenance System,Closed Lost,263947,58,2026-01-07
Coastal Ventures — CRM Setup,Closed Lost,243974,38,2026-02-15
